file,nodes_expanded,reached_goal,best_path_len,start_yx,goal_yx,end_x,end_y,runtime_sec,history_mode,euclid_start_goal,goal_radius_min,goal_radius_max
map_data_55.npz,28,0,9,"(5, 32)","(2, 28)",30.83876609802246,4.178215026855469,28.22801924399755,none,3.605551275463989,0.0,5.0
map_data_56.npz,1,0,1,"(13, 31)","(12, 33)",31.0,13.0,24.774989192999783,full,3.0,0.0,5.0
map_data_56.npz,1,0,1,"(13, 31)","(14, 33)",31.0,13.0,29.88558674199885,none,3.605551275463989,0.0,5.0
map_data_57.npz,2,1,9,"(2, 4)","(2, 5)",5.562719345092773,1.9867454767227173,0.0491880570007197,full,3.0,0.0,5.0
map_data_57.npz,1,0,1,"(2, 4)","(4, 1)",4.0,2.0,29.41828686900044,none,3.605551275463989,0.0,5.0
map_data_58.npz,2,1,9,"(8, 15)","(10, 15)",15.00064468383789,9.508011817932127,0.0570055410025815,none,3.605551275463989,0.0,5.0
map_data_58.npz,34,0,9,"(8, 15)","(11, 13)",14.17506504058838,9.269072532653809,24.51777658000356,full,3.0,0.0,5.0
map_data_59.npz,1,0,1,"(7, 1)","(7, 1)",1.0,7.0,28.755387648001488,none,3.605551275463989,0.0,5.0
map_data_59.npz,1,0,1,"(7, 1)","(9, 5)",1.0,7.0,24.741855088999728,full,3.0,0.0,5.0
map_data_60.npz,2,1,9,"(26, 41)","(24, 43)",42.0909423828125,24.8989200592041,0.0495478159973572,full,3.0,0.0,5.0
map_data_60.npz,1,0,1,"(26, 41)","(25, 39)",41.0,26.0,28.95392597300088,none,3.605551275463989,0.0,5.0
map_data_61.npz,29,0,9,"(7, 23)","(3, 22)",22.61522102355957,5.42948055267334,28.84255995399872,none,3.605551275463989,0.0,5.0
map_data_61.npz,26,0,9,"(7, 23)","(3, 23)",22.990209579467773,5.404647350311279,24.47598106499936,full,3.0,0.0,5.0
map_data_62.npz,2,1,9,"(28, 9)","(27, 7)",7.582404613494873,27.305870056152344,0.0569104699970921,none,3.605551275463989,0.0,5.0
map_data_62.npz,3,1,17,"(28, 9)","(31, 7)",7.207210540771484,30.611597061157227,0.0968367800014675,full,3.0,0.0,5.0
map_data_63.npz,1,0,1,"(25, 5)","(28, 8)",5.0,25.0,29.876620531998924,none,3.605551275463989,0.0,5.0
map_data_63.npz,31,0,17,"(25, 5)","(26, 10)",8.166958808898926,25.49172019958496,24.39168593900104,full,3.0,0.0,5.0
map_data_64.npz,1,0,1,"(12, 9)","(13, 5)",9.0,12.0,24.746628881002835,full,3.0,0.0,5.0
map_data_64.npz,1,0,1,"(12, 9)","(15, 7)",9.0,12.0,29.62378501000057,none,3.605551275463989,0.0,5.0
map_data_65.npz,11,1,25,"(15, 8)","(15, 3)",3.283393621444702,14.973875999450684,0.5740195920006954,none,3.605551275463989,0.0,5.0
map_data_65.npz,2,1,9,"(15, 8)","(15, 9)",9.559026718139648,14.995368957519531,0.0496124869969207,full,3.0,0.0,5.0
map_data_66.npz,108,0,17,"(2, 17)","(7, 18)",17.590669631958008,5.09161901473999,24.66162774699842,none,3.605551275463989,0.0,5.0
map_data_66.npz,1,0,1,"(2, 17)","(2, 13)",17.0,2.0,24.77102696899965,full,3.0,0.0,5.0
map_data_67.npz,1,0,1,"(4, 19)","(5, 15)",19.0,4.0,24.611106534997816,full,3.0,0.0,5.0
map_data_67.npz,1,0,1,"(4, 19)","(3, 15)",19.0,4.0,29.469247218999957,none,3.605551275463989,0.0,5.0
map_data_68.npz,1,0,1,"(19, 38)","(17, 39)",38.0,19.0,28.78956298399862,none,3.605551275463989,0.0,5.0
map_data_68.npz,2,1,9,"(19, 38)","(19, 37)",36.50756454467773,18.99811744689941,11.371779585002514,full,3.0,0.0,5.0
map_data_69.npz,1,0,1,"(3, 7)","(1, 11)",7.0,3.0,29.591768537000465,none,3.605551275463989,0.0,5.0
map_data_69.npz,34,0,9,"(3, 7)","(7, 9)",7.770672798156738,4.448453903198242,24.309153720001632,full,3.0,0.0,5.0
map_data_70.npz,2,1,9,"(8, 16)","(9, 17)",17.106252670288086,9.083534240722656,0.0494083340017823,full,3.0,0.0,5.0
map_data_70.npz,30,0,9,"(8, 16)","(4, 19)",16.952661514282227,6.721356391906738,29.14826446699953,none,3.605551275463989,0.0,5.0
